text,sentiment
bu kadin poz vermeyi iyi biliyor ve fizigide çok hoş,1
sonunda büyük kısmet var,1
hiç beklemediğin bir anda seni çok mutlu edecek olsun,1
bir haber alacaksın sevdiğin biriyle,1
sakin ve huzur dolu günler görünüyor refah dolu bir hayatın olacak başarıya doğru emin adımlarla ilerliyorsun sabrını yitirme olsun,1
dört gözle yolunu beklediğin haber gelmek üzere mutluluk çok yakın zamanda,1
kısmetiyle gelen bir bebek var geldiği haneye bolluk ve bereket getirecek,1
yakın zamanda buna rağmen kolaylıkla atlatacaksın arkadaşından duyacağın iki güzel haberin var,1
sevinç gözyaşları dökeceksin,1
tanışacağın neşeli yerinde duramayan biri var,1
çok istediğin büyük bir dileğin gerçekleşecek buna rağmen yaptığın işlerde çok çabuk başarı kazanacaksın,1
çabalarının sonucunu alacaksın,1
senin sayende çözüme kavuşmak üzere sabır ve azimle ferahlığa erişeceksin,1
hislerinin yoğunlaşacağı algılarının açılacağı bir dönemden geçiyorsun,1
yorgunluğunu atmak ve yenilenmek için kısa da olsa bir tatile ihtiyacın var,1
hayatında olumlu gelişmeler var,1
kısa zaman sonra hem özel hem maddi yaşamında tam rahatlık sağlayacaksın olsun,1
ne olduğunu tahmin bile edemeyeceğin bir sürpriz ile karşılaşacaksın,1
uzun bir seyahat yapmak için yakında hazırlıklara başlayacaksın,1
hane içinde büyük sevinç yaşanacak mutluluk ve huzur dolu günler seni bekliyor,1
seni uyarmak isteyen birisi var çevrende uzun süredir beklediğin bir haber gelmek üzere,1
kutlama yapmaya hazır ol uzak bir yoldan sevdiğin bir misafirin olacak,1
uzunca bir süre sende kalacak,1
uzun süredir görmediğin uzaktaki bir dostundan haber alacaksın,1
bir dostun senden önemli bir konuda yardım isteyecek ona el uzatmalısın,1
ortamda sözü geçen itibarlı biri ile tanışacaksın sözlerine kulak ver,1
hayatına neşe katan birinin yakında senin desteğine ihtiyacı olacak,1
uzun zamandır görüşmediğin bir arkadaşından telefon haberi alıp sevineceksin,1
fincanındaki kuş sembolü huzurlu bir hayatının habercisi görünüyo,1
buna rağmen sabrınla bu günleri aşacaksın,1
bu aralar çok sağlıklısın boş yere kuruntu edip huzurunu kaçırma olsun,1
geçmiş döneme göre daha mutlu bir yaşantı seni bekliyor,1
beş ay içinde elde edeceğin güzel bir maddi kısmetin var iyi değerlendirmelisin,1
yakın zamanda seni çok mutlu edecek ve sevindirecek bir haber alacaksın,1
algılarının açıldığı bir dönemdesin çevrendekileri daha iyi anlayacaksın,1
buna rağmen özür dileyecek enerji ve tempo dolu günler seni bekliyor mücadeleye hazırlıklı ol,1
yakın zamanda çıkacağın bir seyahat görünüyor önemli bir görüşme yapacaksın,1
bu aralar şans senden yana görünüyor büyük bir kısmet kapına gelecek,1
tedbirli olmanda fayda var,1
bir arkadaşın seninle görüşmek istiyor,1
neşe saçacağın hareketli bir dönem başlıyor,1
yakın bir sürede beklediğin zenginlik ve bolluk senin olacak,1
uzun saçlı birisi derman olmak istiyor ona izin vermelisin,1
hanende sevinç gözyaşları döktürecek bir haber kapını çalmak üzere olsun,1
hiç beklemediğin bir yerden para gelecek buna rağmen,1
uzun zamandır bir yakınınla yaşadığın bu aralar nihayet güzelleşecek,1
yaşadığın durumdan en sonunda kurtulup ferahlayacaksın,1
sana şanslı gelecek bir eşya alacak ve onu yanından hiç ayırmayacaksın,1
ortamda sözü geçen itibarlı biri ile tanışacaksın,1
sözlerine kulak ver üç vakte kadar uzak bir yerden seni çok şaşırtacak haberler alacaksın,1
üç vakte kadar uzun süredir beklediğin hayırlı bir haber alacaksın,1
dileğin gerçek olacak iki ay içinde elde edeceğin güzel bir maddi kısmetin var iyi değerlendirmelisin,1
uzun yıllar boyunca sağlıklı ve kuvvetli yaşayacağın güçlü bir bünyen var,1
tüm kararlılığınla kötü bir alışkanlığından kurtulmak için ilk adımı atacaksın,1
sana çok değer veren ve çok seveceğin bir dost edineceksin,1
almak istediğin bir şeye yakında sahip olacaksın,1
yakın zamanda eline bir miktar para geçecek buna rağmen çabuk harcayacaksın,1
dua ve dileklerin yakın zamanda cevap bulacak isteğin gerçekleşecek olsun,1
çok yakında kariyer sahibi birinden hayatın konusunda yardım göreceksin,1
ailen veya bir tanıdığın seni çok şaşırtacak bir sürpriz yapacak,1
bir akrabandan duyacağın övgü dolu sözler seni şaşırtacak ve göğsün kabaracak,1
duygularının ağır bastığı kalbinin sesini dinleyeceğin bir döneme giriyorsun,1
yanında olmasını istediğin kişiden alacağın bir haber yüzünü güldürecek,1
üstünde uzun süredir düşündüğün bir konu nihayet çözüme kavuşuyor,1
bir arkadaşınla karşılıklı yapacağınız konuşma aranızdaki buzları eritecek,1
yaşanan terslikler artık bitiyor sorunlarından kurtuluyorsun,1
dostlarından birisiyle ilgili sana anlatılacak olan laflara sakın ola ki inanma,1
sürecek bir dostluğun başlangıcındasın onu kaçırmamalısın,1
emeklerinin karşılığı olan bir miktar para gecikmeli de olsa eline ulaşacak,1
enerji ve tempo dolu günler seni bekliyor olsun mücadeleye hazırlıklı ol,1
çevrende bir aileye veya senin ailene kısmetiyle gelen bir bebek katılıyor,1
sorunlarını içine atıp biriktiriyorsun duygusal patlamalar yaşayabilirsin,1
yakın zamanda çok hayırlı haberler getiren bir ziyaretçin olacak,1
hislerinin yoğunlaşacağı algılarının açılacağı bir dönemden geçiyorsun,1
kısa zamanda evine bereket gelecek önünde ferahlık ve huzur var,1
dileğine doğru şahlanmış koşuyorsun istediklerinin gerçekleşmesi an meselesi,1
bir süredir küs olduğun birisi ile uzun uzun konuşacak ve barışacaksın ayrı kaldığın bir kişi ile buluşma görünüyor,1
buna rağmen sen bunun üstesinden geleceksin,1
bu aralar çok sağlıklısın boş yere kuruntu edip huzurunu kaçırma emeklerinin karşılığını gururlanarak alacaksın,1
üzerindeki yükten sonunda kurtuluyorsun rahata ve huzura kavuşacaksın,1
beş vakte kadar geçireceğin güzel bir akşam olacak moralin düzelecek,1
yaşanan terslikler artık bitiyor sorunlarından kurtuluyorsun,1
buna rağmen o konuyu ilgili kişiyle paylaşmalısın sana çok faydası dokunacak,1
itibarlı biri ile tanışacaksın kararsızlığın devam ederse kötü olaylar yaşanacak elini çabuk tutmalısın,1
davranışlarından rahatsız olduğun birinin uzak yere gideceği haberini alacaksın olsun,1
önce kendine sonra çevrene karşı özenli ve kibarsın insanlar bu huyunu seviyor,1
hayatında herşey yoluna girecek çok mutlu olacaksın,1
mutluluğun ile uzun boylu biri var,1
zaman ayırdığın bir yerden beklediğin bir başarı yakalayacaksın,1
hedefinle ilgili yaşanacak olumsuzluk keyfini kaçırmasın amacına ulaşacaksın,1
çok istediğin büyük bir dileğin gerçekleşecek,1
uzaklardan gelecek bir haber tüm mutsuzluğunu alıp götürecek,1
yüzün gülecek beklenmeyen bir anda gelen haberle sevinç gözyaşlarına boğulacaksın,1
beklediğin bir müjde veya gitmek istediğin yer ile ilgili haber gelecek,1
öğrenmeye çalışıyorum öyle görünüyor,1
her şeye rağmen rahat bir nefes alacaksın büyük bir fırsat gelmek üzere,1
büyük bir şans veya para gözüküyor ihtiyacına göre şekillenecek,1
sen bunun üstesinden geleceksin,1
hane içinden birisinin beş vakte kadar uzun bir yolculuk yapacağı görünüyor,1
büyük miktarda bir para eline geçecek yatırım fırsatlarını düşünmelisin,1
harekete geçme zamanı sevdiğin biriyle inatlaşma yüzünden büyük bir tartışma yaşayacaksın,1
aklındakileri hayata geçirmenin tam zamanı hayırlı bir girişimde bulunacaksın,1
yavaş buna rağmen emin adımlarla hedefine yaklaşıyorsun,1
uzun bir seyahat yapmak için yakında hazırlıklara başlayacaksın hiç beklemediğin bir yerden para gelecek,1
doğru insan merhamet ve sevgiyle büyüdüğü için kendini belli ediyor kestirip atmıyor gönlünü hoş ediyor,1
değil onarmayı tercih ediyor olsun güzel bakıyor sevip sahip çıkıyor,1
evin oluyor mesafe olsa bile anlıyorsun zaten insan evini uzaktan bile tanır,1
o yüzden içinizden geleni yapın taktiksiz tertemiz ve içten,1
ben hayatımda değer verdiğim insanları gerçekten sevip sonuna kadar yanlarında oluyorum,1
bir şeyden sakınmam her şeyi ortaya koyarım,1
artık akıllandım eskisi gibi değilim,1
i̇nsanlar benim o samimi birilerine güvenen ve zor zamanlarında koştuğum halime o kadar alışmış ki çevremde,1
biri sizi sevebilir aşık olabilir,1
o dünyanın en iyi aşığı olmalı,1 
çünkü unutmayın sadece sevgi yeterli,1
başkalarını mutlu etmek için bir şeyler yapmayı bıraktığımdan beri hafiflemiş hissediyorum,1
yine de iyi olsun herkes ben kendime yeterim,1
bile benimle birlikte çaba gösteren birileri olsun istiyorum,1
hayatımın geri kalanını beni güldüren özel hissettiren ve ne olursa olsun beni desteklemekten vazgeçmeyen insanlarla geçirmek istiyorum,1
tek gerçek yasa özgürlüğü sağlayan yasadır,1
sizce i̇yi insan tanımı nedir ,1
sevgiyi iç dünyamda hissediyorum,1
tamamen sevgi kaynağına bağlıyım,1
yaşam bana verilmiş harika bir hediye değerini biliyor ve mutlu oluyorum,1
kendimi seviyor ve kabul ediyorum,1
nefes almaya ve huzura odaklanıyorum,1
sezgilerimi takip ediyorum ve kalbim gerçek rehberim oluyor,1
her zaman doğru seçimler yapıyorum,1
i̇çimdeki gücü ve enerjiyi yaşıyorum,1
kendime inanıyor ve güveniyorum,1
ben eşsiz bir insanım,1
ben aklım ile parlıyor ve başkalarına yol gösteriyorum,1
ben önemli bir insanım ve dünya bunun farkında,1
i̇çimdeki bilgeliğe ve sezgilerime güveniyorum,1
duygumun farkındayım ve kontrol ediyorum,1
huzurlu ve dinginim ve nefesime odaklanıyorum,1
her şey benim iyiliğim için oluyor,1
durumun iyiye döneceğini kabul etmesem de yaşadığım durum iyiye doğru gidiyor,1
i̇çimde cesaret ve umut yükseliyor,1
baktığım zaman iyimser ve umutlu yolları görüyorum,1
yaşamın bilgeliğinden daha iyi yollar ve çözümler için yardım istiyorum,1
tüm olasılıklar tükenmedi yeni olasılıkları hayatıma her gün giriyor,1
bilgeliğim karara varmamı sağlıyor,1
en iyi kararı vereceğimi biliyor ve kendime güveniyorum,1
kararım ne olursa olsun sonunda iyilikle olacağını biliyorum,1
kararımı iç dünyamın bilgeliği ile buluyor ve huzurla kabul ediyorum,1
ailem ve arkadaşlarım beni bu karar yüzünden anlamasa bile onları seviyorum,1
kararımın doğru olduğunu biliyor ve tüm sorumluluğu alıyorum,1
tüm enerjimi ve zihnimi bana rehberlik etmesi için yönlendiriyorum,1
her iyilikte bir kötülük ve her kötülükte bir iyilik olacağının yasasını biliyorum,1
kararımın en yakın zamanda bilgelik ve sevgi kanalları ile vereceğimi de biliyorum,1
beni seven ve bana saygı duyan arkadaşları seçiyorum,1
bana huzur veren insanlarla çevremi oluşturuyorum,1
arkadaşlarıma zaman ayırıyor ve onları önemsiyorum,1
arkadaşlarım beni yargılamıyor ve beni destekliyorlar,1
ben arkadaşlarım ile çok harika bir yaşam sürüyorum,1
herkesin gördüğü gibi ben akıllı ve güzel bir insanım,1
her istediğimde bu ortamı bırakabilirim onun için çok rahatım,1
biliyorum ki gerekli cevaplar bana burada verilecek,1
tüm her şey yolunda ve insanlar beni beğeniyor,1
ben işimden zevk alıyor ve istediğim işi yapıyorum,1
kariyer planımda yükseliyor ve istediğim noktaya geliyorum,1
harika ve güzel bir işim var,1
yaptığım iş hayatımı pozitif yönde yükseltiyor,1
yaptığım iş ile dünyaya katkıda bulunuyor ve dünyayı pozitif yönde değiştiriyorum,1
kendimi müthiş hissediyorum,1
ben muhteşem biriyim,1
