text,sentiment
bizim nezdimizde aşağılık bir bozguncu sefil bir iş birlikçi millet düşmanıdır,0
sadece milletimize değil başta i̇slam olmak üzere bizi birleştiren ortak değerlere ve kutsallarımıza zarar veren,0
bu tür tufeyli ve haşerelerin hedeflerine ulaşması mümkün değildir,0
tarihi kökleriyle bağını kesen bin yıldır taşıyıcısı olduğu manevi misyonundan koparmak üzere görevlendirilmiş bir iş birlikci ajan olduğunu söyleyecektik,0
yemin ederim erkekler iş birlikçi konusunda kıza bişey diyorum,0
hiç benim yanımda olmuyor hem cinsinim kızım ben benden yana ol şerefsizler,0
korkunun ecele faydası yoktur,0
emperyalizm milli gibi gözüken iş birlikçi saltanatı muhalefet gibi yapanlarla,0
çizgimize geldi diyen dolaylı ve direkgizli yancıları ile sorunkavga bitmeyecek,0
işsizlik rekor seviyede dövize zaten söyleyecek söz yok söyleyeninde,0
otomatik olarak hain ve iş birlikçi ilan edildiği ülkemde gündem allah ıslah etsin,0
laf yetiştiriyorsun senin on paralık kadar ederin mi kaldı sen aşağılık bir bozguncu sefil bir iş birlikçi millet düşmanısın,0
dil uzatmış sen kaç paralık adamsın laf yetiştiriyorsun,0
senin on paralık kadar ederin mi kaldı sen aşağılık bir bozguncu sefil bir iş birlikçi millet düşmanısın,0
çıkarcı iş birlikçi bozguncu gizli hain seni,0
bizim primleri senin gibiler yiyor,0
bugün maçta yanlışlıkla üç kişiyi sakatladım ben hiç sert oynamadığımı düşünürken rakip takımın hepsi çok sert oynadığımı söyledi,0
sanırım düzenli spor kuvveti artırıp hisleri köreltiyor,0
hayatta en sefil davranış bir şeye karşılık vermek ve artniyet ile yapmaktır,0
bazı kafalardaki boşluk uzayda yok i̇çler acısı,0
bazen hak etmeyen birini özlersin ya işte o çok kötü,0
sizin ulaşamadıklarınızı ben meşgule atıyorum,0
üç şeyi kötü günlerinde dene dostunu eşini ve sabrını,0
bir daha kumar oynamayacağıma bahse girerim,0
atacak kemiğin varsa seni sevmeyen köpek bile kuyruk sallar,0
adını duyar duymaz istemsizce küfür ettiğim insanlar var,0
bana kötü kalplisin demiştin haklıydın çünkü orada sen vardın,0
midemizi bulandıran insanlar için ilaç çıkartılamadı daha,0
keşke sende aşkı gözlerine değil kalbine bakarak öğrenmiş olsaydın,0
düşler yalan gülüşler yalan sevişler yalan ölüm gerçek olan,0
dilerim ki kendin gibi birine aşık olursun başka kötü söz etmeyeceğim,0
hiçbir şey bize olabilecek en kötü şey değildir,0
hayvanlar karşılıksız sevgiyi ve sadakati insanlardan çok daha iyi biliyor,0
kötü olmak için kasma kendini zaten hayat kötü kolla kendini,0
hayatınız kötü bir yola girmişse unutmayın direksiyondaki sizsiniz m longston,0
bizim vazgeçtiklerimizle mutsuz olanlara bela diliyorum,0
herkesin mutlak sımsıkı sarılmak istediği birileri vardır kimilerinin göğsüne kiminin boğazına,0
i̇yi misin diye soruyor kötüyüm desem dünyayı yakacak ya hani tesellisine sıçtığım,0
bakma öyle efkar dolu sözler yazdığıma yeri gelir öyle bir laf sokarım ne olduğunu anlayamazsın,0
kötü insan hiç kimseye iyi niyet beslemez çünkü o herkesi kendisi gibi görür,0
beni kötü biri olarak hatırlamanızı hiçbir mahsuru yok çünkü siz bana en çok zararı iyi biri olduğumda verdiniz,0
zamana bırak dediler bıraktım o zaman zarfı içinde çok karaktersiz insanlar tanıdım,0
öyle insanlar tanıdım ki başkalarının mutluluğuna çıldırıp mutsuzluklarına kahkaha atacak katar kötülerdi,0
i̇nsanlar kötülüğü arzuları güçlü olduğu için değil vicdanları zayıf olduğu için yaparlar,0
hiç ummadığım bir anda çıktın karşıma ve birden bire ummadığım bir anda çıkıp gittin hayatımdan yalancı sevgili,0
mutluluktan uçuyorum desem elinde sapanla beni düşürmek için bekleyen insanlar var,0
ben kimsenin boş zamanını doldurmak için yaşamıyorum ilk önce beynin bunu bir algılasın ondan sonra tekrar çık karşıma,0
bir gün gelecek kötü günleri aşacağım bir gün gelecek bana kötülükleri yapanı bu dünyadan kazacağım,0
hep bunu bilir bunu söylerim tadının kaçmasını istemiyorsan çayın sallamasından ve insanın dallamasından uzak duracaksın,0
burnuma bir yerlerden yanık kokusu geliyor mutluluğum kimin canını yakıyorsa ayyy kıyamam ben ona beter olsun,0
i̇nsanların ne kadar kötü olduğunu görmek beni hiç şaşırtmıyor fakat bu yüzden hiç utanmadıklarını görünce hayretler içinde kalıyorum,0
kötü yaradılışlı kişi allah yalvarmasın diye allah ona dert keder vermez unutma firavunun başı bir kez bile ağrımadı,0
sevgilimdin el oldun gittin sana hayallerimi geleceğimi verdim,0
fakat sen ummadığım bir anda hayatımla oynadın şerefin zerresi yok sende,0
artık kalbimi iyilikle değil kötülükle doldurdum artık insanlara sevgi ile değil kötülükle dolduracağım bu dünyada iyi olmak kazandırmıyor,0
bugün kendimi her zamankinden daha kötü hissediyorum,0
bugün ben sayende ölüyorum seni en yakın arkadaşımla el ele gördüm ya kendime lanet ediyorum,0
olacak gibi değildi olmadı da zaten,0
çok zor yürek yanarken nasip deyip susmak,0
hayat acıyı sever fakat gözyaşlarından haz etmez,0
yalnızlık değil ki bu biraz unutulmuş gibiyim,0
rengarenk olsa da hayat bana düşen siyah beyaz,0
vedalar acıtsa da bazen gitmek gerekir,0
karamsar sözler karartılmış hayatların imzasını taşır,0
çok pahalı ödedim inanmanın bedelini,0
yerlere göklere sığdıramadığı beni bir elvedaya sığdırdı,0
hiç umudum olmadı zaten hiç umut edecek bir ışıkta olmadı,0
özlemenin azı ya da çoğu olmaz yüreğe düştü mü yakar işte,0
perdeler kapandı ömür sahnemde vakit doldu bana müsaade,0
hayat karamsar sözlerin ilk sözcüğü gibidir acı ve acımasız,0
kolay diyorsun gel bir sen yaşa sensizliğimi,0
karamsarlık neşeye göre daha bulaşıcıdır,0
özlemek ölmekten sadece iki harf fazla be çocuk,0
sol yanım ağrıyor anne inceden bir sızı içinde yüreğim kanıyor,0
karamsarlığımı ikiye böldüm bir sabah bir akşam alıyorum artık,0
karamsarlık düşünen insanın ayrıcalığıdır,0
aslında biraz da karamsarlık karartılmış hayatların imzasını taşır,0
yıkıldı yolunu bekleyen şehir artık gelsen bir gelmesen bir,0
acı bir tütün gibi yakıyor genzimi senden uzak olmak,0
kendine iyi bak diyerek giden birisinin haklı bir nedeni vardır elbet,0
yeni fikirler her zaman karamsarlık anında ortaya çıkar,0
seninle küçücük olan bu şehir sensiz kocaman dipsiz bir kuyu oldu bana,0
ey hayat o kadar yorgunum ki susup da ağlayasım ölüp dinlenesim var,0
benimki karamsarlık değil aslında biraz unutulmuşluk birazda kimsesizlik,0
genç bir karamsarın görüntüsünden daha acıklı bir görüntü olamaz,0
mark twain ben her zaman gözlerden yaş akar zannederdim bazen kalpte ağlarmış sessizce,0
sensizlik çöktü yine sol yanıma,0
ne solum dayanıyor ne soluğum dayanıyor,0
gizli olan şeyler zıddı ile açığa çıkar,0
hakkın zıddı olmadığından gizlidir,0
bitmemiş bir aşkın acısını yüreğinde hissederken hayırlısı deyip susmak ne acı,0
bu hayattan çok bir beklentim olmadı zaten zaten beklediğimde hiç benim olmadı,0
depresyon dedikleri bu mu sanki yavaş yavaş her şeyden ve herkesten vazgeçiyorum,0
ışığı bitmek üzere olan bir lamba gibiyim hafiften hafiften içten içe kararıyorum,0
karamsar ve yorgunum fakat yaşanılan iyi kötü her şeye eyvallah diyecek kadar onurluyum,0
gitgide büyüyen bir karamsarlık vardı içimde olanca gücüyle yüreğime çöken bir ağırlık,0
hayat sahnesinde bize hep hüzünlü rolleri oynamak düştü mutluluğu sadece uzaktan seyrettik,0
sanki ben dünyaya gelince dertlerin başka gidecek kapısı kalmamış gibi hepsi benim başımdalar,0
i̇nsan bazen öyle bir hale geliyor ki ölümün ıssızlığını andıran bir karamsarlık çöküyor içine,0
karamsar rüzgârdan yakınır i̇yimser değişmesini bekler gerçekçi ise yelkenlerini ayarlar,0
her yerim kan içinde,0
sensizlik derin kesikler yarattı gönlümde,0
beni merak etme kötüyüm işte,0
hani sevgi hep kazanırdı hani aşklar hiç bir zaman bitmezdi hani benimle bir ömür tüketecektin,0
karamsar olma umudunu kaybetme diyorlar,0
bilmiyorlar ki kaybedecek dahi bir umudumun olmadığını,0
belki biz mutlu olmayı bilmiyoruz belki gözümüzün önündeki mutluluk denen şeyi görmüyoruz,0
sırtımda bir hançer ile yaşıyorum gün geçtikçe kan kaybediyorum,0
ölmek için son baharı bekliyorum,0
artık elindeki son şeyi kaybettiği zaman insan kendini kaybetmemesi için hiç bir sebebi kalmıyor,0
karamsar olmamda suç senin değil benim olmayacak duaya amin yağmayacak yağmura umut bağladığım için,0
çocuklukta içimizde oluşan mutluluk yerini zamanla karamsarlık ve düşünceyle çekilen sancıya bırakır,0
bir kağıda sensizlik yazdım,0
yine çok hoşuma gidiyor,0
çünkü sensizlik kelimesi bile sen ile başlıyor,0
gece olunca içimi ince bir sızı kaplıyor karamsarlık bulanık bir su gibi yüreğime çöküyor ve hiç gitmiyor,0
eğer karamsarlık her şeyden vazgeçip geçmişine küsüp hayal kırıklığına küsüp yaşamak ise evet ben karamsarım,0
bazen sevmek bile işe yaramıyor,0
çok seviyorsun sevdiğin kıymet bilmiyor hiç sevmiyorsun sevmediğin için gidiyor,0
sen beni düşünme artık sensizlik derin yaralar açsa da yüreğimde sen beni merak etme,0
bildiğin gibi iyi değilim işte,0
ruh dünyamda kavimler göçü var bu aralar herkes derdini anlatıp gidiyor,0
kimse derdin var mı diye sormuyorama insanın kendi vicdanı sözden daha ağırdır,0
ışıklar arasında kararmış tek lamba gibi hissediyorum bana bir hırsız lazım tüm dertlerimi çalacak,0
giyinip boyansan da renkler üzerinde solar ruhun siyahsa,0
vücudumun su falan değil bildiğin sıkıntıyatsam uzun uzun ve kalkmasam,0
ve sonra bir uyansam her şey yoluna girmiş olsabir gözyaşı düşer toprağa,0
toprak anlarda insanı insan anlamaz insanıparlak günler kalmaz,0
uçup gider ve hayat akar bir bunalım ötekini izler ağlasam sustuklarım dökülür mü ellerime ellerin gibi,0
dertli insanların ihtiyacı köşeye sıkıştırılmak değil hislerine kulak verilmesidir,0
değişimler her zaman bunalım anlarında gerçekleşirler,0
sonbaharda düşen yapraklar gibi bizde düşüşteyiz,0
soğuk beyaz bir kışa doğru i̇çimize atamıyoruz orası da doldu,0
ne kadar kalmak istesek bazen gitmek zorunda kalırız,0
ve ne kadar gitmek zorunda olsak da kalmaktan yanadır sol yanımız,0
dışımda kahkahalardan bir suret içimde kan ağlayan bir çocuk varne diyordu şair yıkıldı yolunu bekleyen şehir,0
artık gelsen bir gelmesen birdenize kıyısı var sanki yüreğimin,0
hep serin hep rutubetli canını sıkma zorluğun arkası kolaylıktırher şeyin bir vakti ve takdiri vardır,0
boşuna mutlu olmaya çalışmayın çalıştığınız yerden sormuyorlar,0
hayat o kadar yorgunum ki susupta ağlayasım ölüpte dinlenesim var eski insanlar birbirine muhtaçtı,0
günümüz insanları ise devasız birer dert,0
i̇nsanın büyüdükçe mi artıyor dertleri yoksa insan büyüdükçe mi anlıyor gerçekleri,0
nasıl da soğuyorsanki sırtında bir hırkaydım da çıkarıp kenara attın,0
çok sıkıldıysan bir mezarlığa gitölüler iyi bilir yaşamak güzeldir,0
kaybedecek bir şeyi kalmayınca kendini kaybediyor insan,0
inananı hiç yarı yolda bırakmadım,0
yarı yolda bırakanı da bir daha adam yerine koymadım,0
kimseden bir şey bekleme böylece asla hayal kırıklığı yaşamazsın,0
yıprandım bittim kalmadı yaşamak için dermanım gözlerine bakıp ağladım fakat beni hiç anlamadın,0
dönsen ne dönmesen ne şimdi,0
geç değil hiç oldu artık dertlerim içimde birikiyor kum misali,0
gözlerime vuruyor acısı kalbimi dağlıyor yarası sensizlik bitiriyor beni dön gel ne olur canısı,0
bir gün seni unutmak zorunda kalırsam aşkımın küçüklüğüne değil çaresizliğimin büyüklüğüne inan hüznümü ikiye böldüm,0
birini sabah birini gece yaşıyorum bu saatten sonra kimseyi çekemem ben kendi yükümü zor taşıyorum,0
önceleri hasreti hiç tatmadım yarimden hiç ayrı kalmadım biter diye takvimlere baktım,0
zor geldi ayrılık alışamadımsen sigara dumanın altında yana yana en sonunda kül oldun sen,0
kibritin hiç yanmayan ucudan birinin hayatından geçmiş oldun hep kalanlara gidenleri kattım,0
bir gün yerine geçemedilero kalanlara gidenleri kattım yine bir tane sen edemediler,0
bir ömür boyu seninleyim desende istemem artık çünkü sen rüzgarın coşturduğu bir toz bulutusun,0
bugün bana esersin yarın ellere,0
hep kalanlara gidenleri kattımbir gün yerine geçemediler,0
o kalanlara gidenleri kattım yine bir tane sen edemediler,0
sen istersen eğer geçmiş unutulabilir fakat yaptığın her seçimde bir daha düşün çünkü gelecek geçmiş kadar insaflı olmayabilir,0
kırılan sigara bile olsa duman vermiyorsa eğer kırılan kalpten sevgi bekleme gönlüm deniz değil ki efkarım sahile vursun,0
vaktinden önce çiçek açmaz rüzgara kelepçe vurulmaz,0
bende sen bitmedikçe veya bende ben ölmedikçe sana olan bu sevgim bitmez,0
her deniz bir martı her rüya bir uyku her nota bir şarkı her mezar bir ölü,0
her ağaç bir kök bulurda ben başka bir sen bulamamben sensizdim,0
kahrolursun görme ağladığımı,0
başlayan düşü şafakla birlikte dağıtır ansızın her gün batımıbir ömür boyu seninleyim desende istemem artık,0
çünkü sen rüzgarın coşturduğu bir toz bulutusun,0
bugün bana esersin yarın ellere gözlerim seni ararken boş sokaklarda hayalini düşünürüm,0
tek teselli bu bana şimdi bensiz mutlu musun oralarda,0
dön desem gelir misin seni seven bu adama aşkımız su üzerine yazılan bir masaldı göz kırpımı kısalığında kelebeğin ömrü uzunluğundaydı,0
kalbimizde bir ömür boyu çekeceğimiz yaralar bıraktı bende unutabilmek isterdim,0
senin gibi yaşadıklarımızı çekip gitmek isterdim senin gibi uzak diyarlara bende gülmek isterdim yıkıp gittiğim hayatın ardından senin gibi,0
özlüyorum seni ve seni özlüyorum kendimde sen benden gittiğinden beri,0
ben bende değilim kendimi tanıyamaz oldum sensizliği kaldıramıyorum dön gel sevgili,0
bak yine soldu güneş yine akşam oluyor ömrümün kadehine sensiz bir gün doluyor,0
sen yoksun diye inan dertliyim kederliyim gelmezsen kahrolurum yıkılırım sevgilim seni çok seviyorum,0
ölmek dünyada unutulup gitmekmiş ölmek bir kefen giymekmiş ölmek o soğuk o korkunç ve o kara toprağa girmekmiş,0
yok be aşkım asıl ölmek sensizlikmişhayata bir çizgi çektim seni tanıyınca sensiz hayatı ben yaşamamışım bakınca gözlerine daha iyi anladım,0
şimdi yoksun yanımda yeniden çizgi çekiyorum sensiz yaşanmamış olan yarınlarıma,0
bir umuttu yalnızlık bir şeyleri paylaşamamaktı belki gözler dalıp giderken yaralı bir serçeye ağlayan bir buluttu belki,0
belki belkilerle dolu bir hayattı bu,0
umutlarımı götürdün kendinle birlikte yarınlarım silindi söylediğin son sözünle belki pişman olursun dönersin günün birinde,0
ben olmayacağım bıraktığın yerde kim bilirdi sensizliğime sarılacağımı kim derdi sensiz gecelerimde ağlayacağımı,0
şimdi sensiz mutluluğa hasretim sensizliğimde acılarıma dost oldumadını kalbime kazımıştım boş ver aldırma belki bir gün silerim,0
güzel bir rüyayı gerçek sanmıştım seni sevdiğim için özür dilerim,0
ne kadar kalmak istesek bazen gitmek zorunda kalırız ve ne kadar gitmek zorunda olsakta kalmaktan yanadır sol yanımız,0
